Date,Open,High,Low,Close,Adj Close,Volume
2022-11-08,292.429993,293.339996,287.630005,291.140015,279.880554,3371800
2022-11-09,289.000000,292.500000,286.260010,286.750000,275.660278,3071400
2022-11-10,297.739990,314.739990,297.079987,311.700012,299.645416,7794000
2022-11-11,312.000000,317.679993,310.239990,314.940002,302.760132,4945400
2022-11-14,314.359985,315.980011,306.339996,306.920013,295.050293,6394800
2022-11-15,304.059998,316.630005,303.250000,311.929993,299.866547,9290400
2022-11-16,305.859985,316.410004,304.510010,314.910004,302.731293,5249500
2022-11-17,312.000000,313.679993,306.149994,311.440002,299.395447,3642100
2022-11-18,314.140015,316.000000,310.260010,313.179993,301.068146,3559300
2022-11-21,316.959991,318.839996,314.200012,316.779999,304.528931,4069000
2022-11-22,320.000000,326.820007,319.380005,324.880005,312.315674,6054700
2022-11-23,326.760010,327.820007,320.440002,321.510010,309.076019,4243400
2022-11-25,322.890015,329.079987,321.899994,326.380005,313.757690,3393500
2022-11-28,325.059998,328.799988,317.850006,318.920013,306.586212,4733700
2022-11-29,316.000000,320.000000,315.619995,315.959991,303.740662,3505600
2022-11-30,312.929993,324.190002,311.500000,323.989990,313.344330,15106500
2022-12-01,326.309998,329.670013,324.440002,327.070007,316.323151,3830100
2022-12-02,321.079987,328.480011,320.329987,327.989990,317.212921,3644100
2022-12-05,325.149994,325.519989,319.540009,320.079987,309.562836,5057300
2022-12-06,319.640015,321.649994,314.540009,317.450012,307.019287,3341500
2022-12-07,315.959991,322.880005,314.440002,320.149994,309.630554,4038200
2022-12-08,318.549988,324.519989,318.549988,324.089996,313.441071,3483600
2022-12-09,321.480011,324.440002,319.929993,320.480011,309.949707,3738800
2022-12-12,323.000000,328.339996,321.290009,327.980011,317.203247,4900200
2022-12-13,344.350006,347.250000,329.959991,332.890015,321.951996,5787700
2022-12-14,330.529999,339.059998,329.010010,333.429993,322.474152,4546000
2022-12-15,329.440002,330.019989,323.369995,327.600006,316.835785,5056900
2022-12-16,323.429993,327.940002,319.239990,323.339996,312.715729,9615000
2022-12-19,319.500000,321.910004,316.019989,317.329987,306.903198,3000600
2022-12-20,313.320007,316.890015,310.829987,314.839996,304.495026,2632200
2022-12-21,318.049988,319.589996,314.739990,319.359985,308.866455,2610400
2022-12-22,316.399994,316.399994,310.730011,316.119995,305.732971,3064400
2022-12-23,314.149994,319.100006,313.059998,318.730011,308.257202,2064900
2022-12-27,318.410004,321.549988,317.510010,319.549988,309.050232,1610200
2022-12-28,320.549988,321.429993,315.500000,315.730011,305.355804,1568200
2022-12-29,318.649994,321.829987,317.589996,320.410004,309.881989,1559100
2022-12-30,317.489990,318.170013,313.019989,315.859985,305.481506,2581600
2023-01-03,317.420013,319.220001,311.779999,315.910004,305.529907,2822400
2023-01-04,321.070007,322.510010,316.380005,319.730011,309.224335,3560900
2023-01-05,317.829987,318.079987,313.230011,315.470001,305.104279,2935100
2023-01-06,316.290009,318.850006,309.000000,317.529999,307.096649,4022500
2023-01-09,320.000000,322.549988,317.059998,317.809998,307.367401,3466300
2023-01-10,316.299988,320.730011,313.959991,320.630005,310.094788,2111300
2023-01-11,322.549988,329.040009,322.119995,329.000000,318.189758,2864800
2023-01-12,332.209991,332.209991,326.709991,329.869995,319.031189,2481800
2023-01-13,326.489990,332.390015,326.000000,331.209991,320.327148,2798600
2023-01-17,330.329987,335.160004,327.100006,327.529999,316.768036,3988900
2023-01-18,330.000000,334.519989,322.929993,323.690002,313.054230,2952200
2023-01-19,320.339996,321.339996,310.630005,310.880005,300.665131,5359300
2023-01-20,310.010010,315.239990,307.390015,315.000000,304.649780,3725100
2023-01-23,313.540009,317.529999,311.089996,315.480011,305.113983,3237900
2023-01-24,315.119995,318.100006,312.630005,317.690002,307.251373,2127900
2023-01-25,315.329987,318.119995,311.549988,317.260010,306.835541,2060400
2023-01-26,314.149994,319.260010,312.529999,313.809998,303.498871,3555300
2023-01-27,312.019989,318.239990,311.329987,316.690002,306.284271,2761200
2023-01-30,315.829987,318.140015,313.690002,314.239990,303.914734,2643100
