SYMBOL,NAME,SECTOR,Capitalization,High 52 Weeks,Low 52 Weeks,Index
FLS,Flowserve Corporation,Industrials,,,,Nasdaq 100
FLR,Fluor Corp.,Industrials,,,,Nasdaq 100
FMC,FMC Corporation,Materials,7.083B,49.49,125.20,Nasdaq 100
FTI,FMC Technologies Inc.,Energy,11.309B,12.64,27.26,Nasdaq 100
F,Ford Motor,Consumer Discretionary,50.107B,9.63,15.42,Nasdaq 100
FRX,Forest Laboratories,Health Care,,,,Nasdaq 100
FOSL,"Fossil, Inc.",Consumer Discretionary,,,,Nasdaq 100
BEN,Franklin Resources,Financials,13.38B,21.88,30.32,Nasdaq 100
FCX,Freeport-McMoran Cp & Gld,Materials,70.96B,32.83,52.42,Nasdaq 100
FTR,Frontier Communications,Telecommunications Services,,,,Nasdaq 100
GME,GameStop Corp.,Consumer Discretionary,3.294B,10.73,27.65,Nasdaq 100
GCI,Gannett Co.,Consumer Discretionary,354.177M,1.6200,3.6000,Nasdaq 100
GPS,Gap (The),Consumer Discretionary,8.404B,7.22,28.59,Nasdaq 100
GD,General Dynamics,Industrials,78.982B,202.35,296.50,Nasdaq 100
GE,General Electric,Industrials,169.052B,76.20,158.44,Nasdaq 100
GIS,General Mills,Consumer Staples,37.373B,60.33,90.89,Nasdaq 100
GPC,Genuine Parts,Consumer Discretionary,20.269B,126.35,174.91,Nasdaq 100
GNW,Genworth Financial Inc.,Financials,2.597B,4.51,6.93,Nasdaq 100
GILD,Gilead Sciences,Health Care,84.881B,67.62,87.87,Nasdaq 100
GS,Goldman Sachs Group,Financials,126.4B,289.36,419.20,Nasdaq 100
GT,Goodyear Tire & Rubber,Consumer Discretionary,3.486B,10.12,16.51,Nasdaq 100
GOOG,Google Inc.,Information Technology,1.969T,103.27,161.70,Nasdaq 100
GWW,Grainger (W.W.) Inc.,Industrials,47.412B,641.95,"1,034.18",Nasdaq 100
HAL,Halliburton Co.,Energy,35.164B,27.84,43.85,Nasdaq 100
HOG,Harley-Davidson,Consumer Discretionary,5.342B,25.43,44.16,Nasdaq 100
HAR,Harman Int'l Industries,Consumer Discretionary,,,,Nasdaq 100
HRS,Harris Corporation,Information Technology,,,,Nasdaq 100
HIG,Hartford Financial Svc.Gp.,Financials,29.07B,67.05,103.64,Nasdaq 100
HAS,Hasbro Inc.,Consumer Discretionary,7.767B,42.66,73.58,Nasdaq 100
HCP,HCP Inc.,Financials,,,,Nasdaq 100
HCN,Health Care REIT,Financials,,,,Nasdaq 100
HNZ,Heinz (H.J.),Consumer Staples,,,,Nasdaq 100
HP,Helmerich & Payne,Energy,4.13B,30.41,46.55,Nasdaq 100
HES,Hess Corporation,Energy,47.204B,124.27,167.75,Nasdaq 100
HPQ,Hewlett-Packard,Information Technology,27.916B,25.22,33.90,Nasdaq 100
HD,Home Depot,Consumer Discretionary,339.795B,274.26,396.87,Nasdaq 100
HON,Honeywell Int'l Inc.,Industrials,127.736B,174.88,210.87,Nasdaq 100
HRL,Hormel Foods Corp.,Consumer Staples,18.583B,28.51,41.73,Nasdaq 100
HSP,Hospira Inc.,Health Care,,,,Nasdaq 100
HST,Host Hotels & Resorts,Financials,14.273B,14.92,21.31,Nasdaq 100
HCBK,Hudson City Bancorp,Financials,,,,Nasdaq 100
HUM,Humana Inc.,Health Care,37.682B,299.23,541.21,Nasdaq 100
HBAN,Huntington Bancshares,Financials,19.377B,9.13,14.07,Nasdaq 100
ITW,Illinois Tool Works,Industrials,75.735B,217.06,271.15,Nasdaq 100
IR,Ingersoll-Rand PLC,Industrials,37.084B,53.24,96.17,Nasdaq 100
TEG,Integrys Energy Group Inc.,Utilities,,,,Nasdaq 100
INTC,Intel Corp.,Information Technology,151.928B,26.86,51.28,Nasdaq 100
ICE,IntercontinentalExchange Inc.,Financials,76.581B,103.81,140.43,Nasdaq 100
IBM,International Bus. Machines,Information Technology,167.095B,120.55,199.18,Nasdaq 100
IFF,International Flav/Frag,Materials,21.347B,62.11,97.49,Nasdaq 100
IGT,International Game Technology,Consumer Discretionary,4.006B,19.96,33.99,Nasdaq 100
IP,International Paper,Materials,12.852B,29.01,41.28,Nasdaq 100
IPG,Interpublic Group,Consumer Discretionary,11.532B,27.20,40.95,Nasdaq 100
INTU,Intuit Inc.,Information Technology,173.898B,400.22,671.01,Nasdaq 100
ISRG,Intuitive Surgical Inc.,Health Care,136.392B,254.85,403.76,Nasdaq 100
IVZ,Invesco Ltd.,Financials,6.897B,12.48,18.71,Nasdaq 100
IRM,Iron Mountain Incorporated,Industrials,22.219B,52.05,82.19,Nasdaq 100
JBL,Jabil Circuit,Information Technology,16.168B,75.48,156.94,Nasdaq 100
JEC,Jacobs Engineering Group,Industrials,,,,Nasdaq 100
JDSU,JDS Uniphase Corp.,Information Technology,,,,Nasdaq 100
JNJ,Johnson & Johnson,Health Care,355.491B,144.95,175.97,Nasdaq 100
JCI,Johnson Controls,Consumer Discretionary,44.495B,47.90,70.43,Nasdaq 100
JOY,Joy Global Inc.,Industrials,,,,Nasdaq 100
JPM,JPMorgan Chase & Co.,Financials,524.989B,131.81,200.94,Nasdaq 100
JNPR,Juniper Networks,Information Technology,11.889B,24.87,38.04,Nasdaq 100
K,Kellogg Co.,Consumer Staples,18.94B,47.63,67.89,Nasdaq 100
KEY,KeyCorp,Financials,13.55B,8.54,15.86,Nasdaq 100
KMB,Kimberly-Clark,Consumer Staples,41.74B,116.32,147.87,Nasdaq 100
KIM,Kimco Realty,Financials,12.202B,16.34,22.84,Nasdaq 100
KMI,Kinder Morgan,Energy,40.237B,15.89,18.72,Nasdaq 100
KLAC,KLA-Tencor Corp.,Information Technology,92.065B,355.88,729.15,Nasdaq 100
KSS,Kohl's Corp.,Consumer Discretionary,2.521B,17.68,29.65,Nasdaq 100
KFT,Kraft Foods Inc-A,Consumer Staples,,,,Nasdaq 100
KR,Kroger Co.,Consumer Staples,39.837B,42.10,58.34,Nasdaq 100
LLL,L-3 Communications Holdings,Industrials,,,,Nasdaq 100
LH,Laboratory Corp. of America Holding,Health Care,,,,Nasdaq 100
LRCX,Lam Research,Information Technology,125.471B,482.74,"1,007.39",Nasdaq 100
LM,Legg Mason,Financials,,,,Nasdaq 100
LEG,Leggett & Platt,Consumer Discretionary,2.363B,17.59,33.50,Nasdaq 100
LEN,Lennar Corp.,Consumer Discretionary,43.993B,102.90,172.59,Nasdaq 100
LUK,Leucadia National Corp.,Financials,,,,Nasdaq 100
LXK,Lexmark Int'l Inc,Information Technology,,,,Nasdaq 100
LIFE,Life Technologies,Health Care,,,,Nasdaq 100
LLY,Lilly (Eli) & Co.,Health Care,714.634B,367.35,800.78,Nasdaq 100
LTD,Limited Brands Inc.,Consumer Discretionary,,,,Nasdaq 100
LNC,Lincoln National,Financials,4.808B,18.50,32.43,Nasdaq 100
LLTC,Linear Technology Corp.,Information Technology,,,,Nasdaq 100
LMT,Lockheed Martin Corp.,Industrials,108.319B,393.77,508.10,Nasdaq 100
L,Loews Corp.,Financials,,,,Nasdaq 100
LO,Lorillard Inc.,Consumer Staples,,,,Nasdaq 100
LOW,Lowe's Cos.,Consumer Discretionary,132.775B,181.85,262.49,Nasdaq 100
LSI,LSI Corporation,Information Technology,,,,Nasdaq 100
MTB,M&T Bank Corp.,Financials,22.421B,108.53,148.23,Nasdaq 100
M,Macy's Inc.,Consumer Discretionary,5.293B,10.54,22.10,Nasdaq 100
MRO,Marathon Oil Corp.,Energy,16.624B,21.63,30.06,Nasdaq 100
MPC,Marathon Petroleum,Energy,75.227B,104.32,221.11,Nasdaq 100
MAR,Marriott Int'l.,Consumer Discretionary,72.37B,162.78,260.57,Nasdaq 100
MMC,Marsh & McLennan,Financials,97.754B,171.47,209.20,Nasdaq 100
MAS,Masco Corp.,Industrials,16.223B,47.66,78.94,Nasdaq 100
MA,Mastercard Inc.,Information Technology,434.149B,357.85,490.00,Nasdaq 100
MAT,Mattel Inc.,Consumer Discretionary,6.34B,16.20,22.64,Nasdaq 100
MKC,McCormick & Co.,Consumer Staples,19.265B,59.13,94.39,Nasdaq 100
MCD,McDonald's Corp.,Consumer Discretionary,192.79B,245.73,302.39,Nasdaq 100
MHP,McGraw-Hill,Consumer Discretionary,,,,Nasdaq 100
MCK,McKesson Corp.,Health Care,68.728B,352.34,543.00,Nasdaq 100
MJN,Mead Johnson,Consumer Staples,,,,Nasdaq 100
MWV,MeadWestvaco Corporation,Materials,,,,Nasdaq 100
MDT,Medtronic Inc.,Health Care,106.398B,68.84,92.02,Nasdaq 100
MRK,Merck & Co.,Health Care,318.503B,99.14,133.10,Nasdaq 100
MET,MetLife Inc.,Financials,50.713B,48.95,74.68,Nasdaq 100
PCS,MetroPCS Communications Inc.,Telecommunications Services,,,,Nasdaq 100
MCHP,Microchip Technology,Information Technology,46.279B,68.75,94.30,Nasdaq 100
MU,Micron Technology,Information Technology,135.675B,58.03,130.54,Nasdaq 100
MSFT,Microsoft Corp.,Information Technology,3.135T,275.37,430.82,Nasdaq 100
MOLX,Molex Inc.,Information Technology,,,,Nasdaq 100
TAP,Molson Coors Brewing Company,Consumer Staples,14.078B,55.67,70.90,Nasdaq 100
MON,Monsanto Co.,Materials,,,,Nasdaq 100
MNST,Monster Beverage,Consumer Staples,57.612B,47.13,61.23,Nasdaq 100
MCO,Moody's Corp,Financials,68.855B,296.45,407.62,Nasdaq 100
MS,Morgan Stanley,Financials,140.199B,69.42,95.57,Nasdaq 100
MOS,The Mosaic Company,Materials,10.011B,29.25,47.58,Nasdaq 100
MSI,Motorola Solutions Inc.,Information Technology,57.281B,269.65,355.39,Nasdaq 100
MUR,Murphy Oil,Energy,,,,Nasdaq 100
MYL,Mylan Inc.,Health Care,,,,Nasdaq 100
NBR,Nabors Industries Ltd.,Energy,751.986M,71.42,141.47,Nasdaq 100
NDAQ,NASDAQ OMX Group,Financials,35.421B,46.88,64.25,Nasdaq 100
NOV,National Oilwell Varco Inc.,Energy,7.763B,14.05,21.91,Nasdaq 100
NTAP,NetApp,Information Technology,21.011B,60.92,112.48,Nasdaq 100
NFLX,NetFlix Inc.,Information Technology,269.536B,315.62,639.00,Nasdaq 100
NWL,Newell Rubbermaid Co.,Consumer Discretionary,2.956B,6.50,12.74,Nasdaq 100
NFX,Newfield Exploration Co,Energy,,,,Nasdaq 100
NEM,Newmont Mining Corp. (Hldg. Co.),Materials,44.544B,29.42,50.18,Nasdaq 100
NWSA,News Corporation,Consumer Discretionary,,,,Nasdaq 100
NEE,NextEra Energy Resources,Utilities,129.597B,47.15,79.78,Nasdaq 100
NKE,NIKE Inc.,Consumer Discretionary,138.861B,88.66,128.68,Nasdaq 100
NI,NiSource Inc.,Utilities,,,,Nasdaq 100
NE,Noble Corp,Energy,,,,Nasdaq 100
NBL,Noble Energy Inc,Energy,,,,Nasdaq 100
JWN,Nordstrom,Consumer Discretionary,3.112B,12.88,23.53,Nasdaq 100
NSC,Norfolk Southern Corp.,Industrials,55.511B,183.09,263.66,Nasdaq 100
NTRS,Northern Trust Corp.,Financials,17.103B,62.44,89.25,Nasdaq 100
NOC,Northrop Grumman Corp.,Industrials,67.568B,414.56,496.89,Nasdaq 100
NU,Northeast Utilities,Utilities,53.807B,4.51,12.39,Nasdaq 100
NRG,NRG Energy,Utilities,15.875B,30.52,76.11,Nasdaq 100
NUE,Nucor Corp.,Materials,46.683B,129.79,203.00,Nasdaq 100
NVDA,Nvidia Corporation,Information Technology,2.205T,262.25,974.00,Nasdaq 100
NYX,NYSE Euronext,Financials,,,,Nasdaq 100
ORLY,O'Reilly Automotive,Consumer Discretionary,63.542B,860.10,"1,169.11",Nasdaq 100
OXY,Occidental Petroleum,Energy,61.175B,55.12,71.19,Nasdaq 100
OMC,Omnicom Group,Consumer Discretionary,17.864B,72.20,99.23,Nasdaq 100
OKE,ONEOK,Utilities,45.932B,55.91,80.81,Nasdaq 100
ORCL,Oracle Corp.,Information Technology,332.872B,93.29,132.77,Nasdaq 100
OI,Owens-Illinois Inc,Materials,,,,Nasdaq 100
PCAR,PACCAR Inc.,Industrials,61.917B,68.40,125.50,Nasdaq 100
PLL,Pall Corp.,Industrials,245.496M,11.27,65.72,Nasdaq 100
PH,Parker-Hannifin,Industrials,70.667B,309.89,570.15,Nasdaq 100
PDCO,Patterson Companies,Health Care,2.281B,25.00,34.53,Nasdaq 100
PAYX,Paychex Inc.,Information Technology,44.275B,104.09,129.70,Nasdaq 100
BTU,Peabody Energy,Energy,2.939B,17.71,27.70,Nasdaq 100
